,kernel,#clusters,threshold,kernel parameter,svc parameter,auc
0,Omega,3,05,0.01,10.0,0.6869619811649809
1,NMImax,3,05,3.0,50.0,0.4214091384722707
2,NMIsum,3,05,3.0,10.0,0.7258318800139518
3,lfkNMI,3,05,10.0,1.0,0.5230066271363794
4,Omega,3,10,0.7,1.0,0.7477084059993024
5,NMImax,3,10,0.01,0.01,0.6376491105685385
6,NMIsum,3,10,0.1,10.0,0.7243111266131845
7,lfkNMI,3,10,0.01,1.0,0.6402790373212417
8,Omega,3,15,0.3,10.0,0.789940704569236
9,NMImax,3,15,0.3,10.0,0.7236972445064527
10,NMIsum,3,15,0.3,10.0,0.780320892919428
11,lfkNMI,3,15,0.3,10.0,0.7173421695151727
12,Omega,3,20,0.01,50.0,0.7711335891175445
13,NMImax,3,20,3.0,10.0,0.7694035577258458
14,NMIsum,3,20,4.0,10.0,0.7672061388210674
15,lfkNMI,3,20,4.0,10.0,0.7682734565748168
16,Omega,3,25,2.0,1.0,0.7539797697942099
17,NMImax,3,25,0.1,50.0,0.7859225671433556
18,NMIsum,3,25,0.1,50.0,0.7845622602023021
19,lfkNMI,3,25,0.1,50.0,0.7879316358562957
20,Omega,3,30,0.01,50.0,0.7844715730728984
21,NMImax,3,30,0.01,50.0,0.7768538542029997
22,NMIsum,3,30,0.5,1.0,0.7752493896058597
23,lfkNMI,3,30,0.5,1.0,0.774502964771538
24,Omega,3,35,0.3,1.0,0.7704987792117195
25,NMImax,3,35,4.0,1.0,0.7680781304499475
26,NMIsum,3,35,4.0,1.0,0.7680292989187304
27,lfkNMI,3,35,4.0,1.0,0.7659713986745729
28,Omega,3,40,10.0,10.0,0.7762748517614232
29,NMImax,3,40,0.3,10.0,0.7798814091384724
30,NMIsum,3,40,0.3,1.0,0.7767980467387513
31,lfkNMI,3,40,0.3,1.0,0.7750052319497733
