,kernel,#clusters,threshold,kernel parameter,svc parameter,auc
0,Omega,6,05,0.5,0.1,0.7681409138472272
1,NMImax,6,05,4.0,10.0,0.7833135681897454
2,NMIsum,6,05,4.0,10.0,0.7814161144053017
3,lfkNMI,6,05,4.0,10.0,0.7821346355074991
4,Omega,6,10,0.01,50.0,0.7181164980816181
5,NMImax,6,10,5.0,10.0,0.8012138123474014
6,NMIsum,6,10,5.0,10.0,0.8009696546913151
7,lfkNMI,6,10,5.0,10.0,0.8018137425880709
8,Omega,6,15,0.1,10.0,0.7416253923962328
9,NMImax,6,15,2.0,10.0,0.7931356818974536
10,NMIsum,6,15,2.0,10.0,0.7924032089291942
11,lfkNMI,6,15,2.0,10.0,0.7919776770143008
12,Omega,6,20,0.1,50.0,0.7591210324380886
13,NMImax,6,20,0.3,50.0,0.8267596791070805
14,NMIsum,6,20,0.5,10.0,0.8242901988140915
15,lfkNMI,6,20,0.9,10.0,0.8192675270317406
16,Omega,6,25,0.3,10.0,0.8308545517963029
17,NMImax,6,25,0.3,50.0,0.8401255667945587
18,NMIsum,6,25,0.9,10.0,0.8358981513777468
19,lfkNMI,6,25,2.0,10.0,0.8299825601674222
20,Omega,6,30,0.01,0.01,0.7580188350191839
21,NMImax,6,30,0.01,0.01,0.7674502964771538
22,NMIsum,6,30,5.0,10.0,0.7823020579002441
23,lfkNMI,6,30,0.01,0.01,0.7625741192884548
24,Omega,6,35,0.01,0.01,0.7303871642832227
25,NMImax,6,35,6.0,10.0,0.5857272410184862
26,NMIsum,6,35,6.0,10.0,0.7474293686780605
27,lfkNMI,6,35,6.0,10.0,0.5713149633763517
28,Omega,6,40,0.01,50.0,0.784555284269271
29,NMImax,6,40,5.0,1.0,0.521625392396233
30,NMIsum,6,40,0.1,10.0,0.7769654691314963
31,lfkNMI,6,40,9.0,0.1,0.4938681548657132
