,kernel,#clusters,threshold,kernel parameter,svc parameter,auc
0,Omega,8,05,0.01,0.1,0.7298569933728636
1,NMImax,8,05,4.0,10.0,0.7960237181723058
2,NMIsum,8,05,4.0,10.0,0.796428322288106
3,lfkNMI,8,05,4.0,10.0,0.7958214161144054
4,Omega,8,10,0.1,10.0,0.7590861527729332
5,NMImax,8,10,0.1,10.0,0.8046808510638299
6,NMIsum,8,10,0.1,10.0,0.8053017091035926
7,lfkNMI,8,10,0.1,10.0,0.8074921520753401
8,Omega,8,15,2.0,10.0,0.818214161144053
9,NMImax,8,15,3.0,10.0,0.8023299616323685
10,NMIsum,8,15,3.0,10.0,0.801792814788978
11,lfkNMI,8,15,2.0,10.0,0.8033554237879317
12,Omega,8,20,3.0,10.0,0.825029647715382
13,NMImax,8,20,3.0,1.0,0.7862574119288455
14,NMIsum,8,20,3.0,1.0,0.7861039414021624
15,lfkNMI,8,20,2.0,1.0,0.7905685385420301
16,Omega,8,25,0.01,0.01,0.7550749912800836
17,NMImax,8,25,0.01,0.01,0.6324450645273806
18,NMIsum,8,25,1.0,1.0,0.78126961981165
19,lfkNMI,8,25,0.9,0.1,0.6464108824555285
20,Omega,8,30,0.01,50.0,0.7428880362748518
21,NMImax,8,30,0.01,10.0,0.5541471921869551
22,NMIsum,8,30,0.01,50.0,0.7570631321939308
23,lfkNMI,8,30,0.01,0.01,0.5419811649808162
24,Omega,8,35,0.01,1.0,0.7693617021276595
25,NMImax,8,35,0.01,0.01,0.44223927450296474
26,NMIsum,8,35,5.0,10.0,0.780502267178235
27,lfkNMI,8,35,3.0,0.1,0.4956958493198465
28,Omega,8,40,0.01,0.01,0.6544122776421346
29,NMImax,8,40,2.0,10.0,0.5262364841297523
30,NMIsum,8,40,0.01,0.01,0.7509243111266133
31,lfkNMI,8,40,2.0,0.1,0.45393791419602375
