,kernel,#clusters,threshold,kernel parameter,svc parameter,auc
0,Omega,9,05,0.01,1.0,0.752514823857691
1,NMImax,9,05,2.0,10.0,0.795940006975933
2,NMIsum,9,05,2.0,10.0,0.7964911056853855
3,lfkNMI,9,05,1.0,10.0,0.7965329612835716
4,Omega,9,10,0.01,0.01,0.6884687826996861
5,NMImax,9,10,4.0,10.0,0.8044576212068364
6,NMIsum,9,10,4.0,10.0,0.805657481688176
7,lfkNMI,9,10,3.0,10.0,0.805531914893617
8,Omega,9,15,0.01,50.0,0.7399441925357517
9,NMImax,9,15,3.0,10.0,0.7936798046738751
10,NMIsum,9,15,3.0,10.0,0.7949145448203697
11,lfkNMI,9,15,3.0,10.0,0.7967701430066271
12,Omega,9,20,0.01,0.1,0.749459365190094
13,NMImax,9,20,3.0,10.0,0.7948099058249042
14,NMIsum,9,20,3.0,10.0,0.7972026508545517
15,lfkNMI,9,20,3.0,10.0,0.7904359958144401
16,Omega,9,25,0.01,0.01,0.7358981513777466
17,NMImax,9,25,0.01,1.0,0.5777816532961284
18,NMIsum,9,25,0.1,50.0,0.77919776770143
19,lfkNMI,9,25,0.01,10.0,0.5992117195674921
20,Omega,9,30,0.01,50.0,0.7856226020230206
21,NMImax,9,30,10.0,50.0,0.4589710498779212
22,NMIsum,9,30,2.0,1.0,0.7682246250435996
23,lfkNMI,9,30,1.0,10.0,0.4383536798046739
24,Omega,9,35,0.01,0.01,0.7151447506103942
25,NMImax,9,35,10.0,0.1,0.495772584583188
26,NMIsum,9,35,5.0,10.0,0.7891175444715731
27,lfkNMI,9,35,7.0,0.01,0.4525810952214859
28,Omega,9,40,0.01,0.01,0.6724450645273805
29,NMImax,9,40,0.1,0.01,0.5570143006627136
30,NMIsum,9,40,0.01,10.0,0.6963794907568887
31,lfkNMI,9,40,10.0,10.0,0.33479944192535754
