,kernel,#clusters,threshold,kernel parameter,svc parameter,auc
0,Omega,7,05,0.01,50.0,0.7152703174049527
1,NMImax,7,05,3.0,10.0,0.8163585629577955
2,NMIsum,7,05,3.0,10.0,0.8178444366934078
3,lfkNMI,7,05,3.0,10.0,0.8182420648761773
4,Omega,7,10,0.1,10.0,0.750722009068713
5,NMImax,7,10,3.0,10.0,0.8206208580397627
6,NMIsum,7,10,3.0,10.0,0.820969654691315
7,lfkNMI,7,10,4.0,10.0,0.82
8,Omega,7,15,0.01,0.01,0.7652807813044995
9,NMImax,7,15,4.0,10.0,0.8163446110917337
10,NMIsum,7,15,4.0,10.0,0.8166864318102546
11,lfkNMI,7,15,4.0,10.0,0.814991280083711
12,Omega,7,20,0.01,50.0,0.7695849319846529
13,NMImax,7,20,3.0,10.0,0.8056574816881757
14,NMIsum,7,20,3.0,10.0,0.8059993024066968
15,lfkNMI,7,20,4.0,10.0,0.8026229508196723
16,Omega,7,25,0.01,0.01,0.8114963376351588
17,NMImax,7,25,0.01,0.1,0.7768119986048134
18,NMIsum,7,25,2.0,10.0,0.835430763864667
19,lfkNMI,7,25,0.01,0.1,0.770715033135682
20,Omega,7,30,0.01,0.1,0.7984234391349843
21,NMImax,7,30,0.01,0.01,0.6425252877572375
22,NMIsum,7,30,4.0,10.0,0.8135960934775025
23,lfkNMI,7,30,0.01,0.01,0.6065922567143355
24,Omega,7,35,0.01,0.01,0.7570282525287757
25,NMImax,7,35,5.0,10.0,0.4418416463201953
26,NMIsum,7,35,0.01,50.0,0.784066968957098
27,lfkNMI,7,35,7.0,0.01,0.49667247994419256
28,Omega,7,40,0.01,0.01,0.7792396232996163
29,NMImax,7,40,4.0,10.0,0.5500383676316707
30,NMIsum,7,40,0.01,50.0,0.7687617718869899
31,lfkNMI,7,40,10.0,1.0,0.41625392396233
